dataset,accuracy,rules
anneal,0.991073099809055,36.7
anneal,0.960021108728974,36.6
australian,0.859358786993058,79.9
australian,0.862236633783948,79.8
autos,0.700111873887618,38.1
autos,0.551507573281029,38.1
breast-w,0.957058874989065,54.9
breast-w,0.948466742483889,54.6
colic,0.778062272799115,103
colic,0.797285443338075,103
credit-a,0.830476190476191,72.6
credit-a,0.847911947387651,72.6
credit-g,0.734,127.1
credit-g,0.747,127.1
diabetes,0.74876965140123,61.7
diabetes,0.746172248803828,61.7
glass,0.7041470606688,35.4
glass,0.583908338038773,35.4
heart-statlog,0.796296296296296,47.8
heart-statlog,0.837037037037037,47.8
hepatitis,0.792205882352941,24.6
hepatitis,0.774975490196078,24.6
hypothyroid,0.985691741232977,38
hypothyroid,0.980916455264229,38
ionosphere,0.91405695611578,48.8
ionosphere,0.908099906629318,48.8
iris,0.92,5.9
iris,0.92,5.9
labor,0.843333333333333,11.7
labor,0.823333333333333,11.5
